Make,Model,Year,Engine_L,Horsepower,Torque_lbft,ZeroTo60,Price_USD
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64195
Dodge,Viper,2017,8.4,645.0,600.0,3.3,118795
Ferrari,Portofino,2021,3.9,591.0,560.0,3.5,218750
Jaguar,F-Type,2022,3.0,296.0,295.0,5.4,61600
Lamborghini,Aventador SVJ,2021,6.5,770.0,531.0,2.8,517700
McLaren,600LT,2021,3.8,592.0,457.0,2.8,240000
Aston Martin,DB11,2021,5.2,630.0,516.0,3.5,221400
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,202500
Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.4,3000000
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64100
Jaguar,F-Type R,2022,5.0,575.0,516.0,3.5,103200
Koenigsegg,Jesko,2022,5.0,1280.0,1015.0,2.5,2800000
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100450
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.8,150980
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000
Mercedes-AMG,C 63 S,2022,4.0,503.0,516.0,3.7,81550
Pagani,Huayra,2021,6.0,764.0,738.0,2.8,3500000
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102550
Rimac,C_Two,2022,4.0,1888.0,1696.0,1.8,2400000
Rolls-Royce,Wraith,2021,6.6,624.0,642.0,4.4,330000
Tesla,Roadster,2022,4.0,591.0,0.0,1.9,200000
Toyota,Supra,2022,3.0,382.0,368.0,3.9,43090
Acura,NSX,2021,3.5,573.0,476.0,2.7,157500
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,146000
Bentley,Continental GT,2022,4.0,542.0,568.0,3.9,207825
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64195
Jaguar,F-Type,2022,3.0,380.0,339.0,4.8,62250
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92000
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105000
Maserati,GranTurismo,2022,4.7,454.0,384.0,4.7,134300
McLaren,570S,2022,3.8,562.0,443.0,2.9,204550
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102000
Tesla,Model S Plaid,2021,4.0,1020.0,1050.0,1.9,141190
Audi,RS 5,2021,2.9,444.0,443.0,3.5,75100
BMW,M2 Competition,2022,3.0,405.0,406.0,4.0,59895
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64995
Dodge,Viper ACR,2017,8.4,645.0,600.0,3.3,126190
Ford,GT,2021,3.5,660.0,550.0,2.9,500000
Porsche,Taycan 4S,2022,2.5,482.0,472.0,3.8,102900
Lamborghini,Aventador S,2021,6.5,730.0,509.0,2.9,417650
Aston Martin,DB11,2021,5.2,630.0,516.0,3.5,205000
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443.0,3.8,81250
Audi,RS7 Sportback,2022,4.0,591.0,590.0,3.5,115045
BMW,M4 Competition,2021,3.0,503.0,479.0,3.9,75695
Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.1,42000
Dodge,Charger Hellcat,2021,6.2,717.0,650.0,3.6,71490
Ferrari,F8 Tributo,2021,3.9,710.0,568.0,2.9,274280
Ford,GT,2021,3.5,660.0,550.0,2.8,500000
Jaguar,F-Type R,2021,5.0,575.0,516.0,3.5,103200
Koenigsegg,Jesko Absolut,2022,5.0,1600.0,1106.0,2.1,2800000
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,93050
Lotus,Evija,2022,4.0,1973.0,1254.0,2.5,2750000
McLaren,GT,2022,4.0,612.0,465.0,3.2,210000
Mercedes-Benz,AMG GT Black Series,2021,4.0,720.0,590.0,3.2,326050
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102500
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.8,417650
Ferrari,Portofino,2021,3.9,591.0,560.0,3.3,218750
Audi,TT RS,2022,2.5,394.0,354.0,3.6,69000
McLaren,600LT Spider,2021,3.8,592.0,457.0,2.8,256500
BMW,M4,2022,3.0,473.0,406.0,4.1,72800
Mercedes-Benz,AMG C 63,2022,4.0,503.0,516.0,3.8,70000
Chevrolet,Camaro SS 1LE,2021,6.2,455.0,455.0,4.0,44500
Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.0,51000
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.2,45000
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,146000
Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.4,3000000
Koenigsegg,Jesko,2021,5.0,1262.0,1106.0,2.5,3000000
Pagani,Huayra,2021,6.0,764.0,738.0,2.6,2600000
McLaren,Speedtail,2021,4.0,1035.0,848.0,2.5,2300000
Lamborghini,Sián,2021,6.5,819.0,531.0,2.8,3600000
Rimac,C_Two,2021,4.0,1914.0,1732.0,1.8,2400000
Porsche,Cayman,2022,2.0,300.0,280.0,4.9,59900
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.8,393695
Ferrari,Portofino,2021,3.9,591.0,413.0,3.5,215000
Audi,RS 5,2022,2.9,444.0,443.0,3.7,75100
McLaren,GT,2021,4.0,620.0,465.0,3.1,210000
BMW,Z4 M40i,2022,3.0,382.0,369.0,4.3,63700
Mercedes-Benz,SLC 43,2020,3.0,385.0,384.0,4.6,62000
Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.3,42500
Ford,Mustang GT,2022,5.0,460.0,420.0,4.3,36120
Nissan,370Z Nismo,2020,3.7,350.0,276.0,4.6,45790
Aston Martin,Vantage,2022,4.0,503.0,505.0,3.6,146000
Bentley,Continental GT,2021,4.0,626.0,664.0,3.3,220000
Porsche,718 Boxster,2022,2.0,300.0,280.0,4.9,62000
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,222004
Ferrari,F8 Spider,2021,3.9,710.0,568.0,2.9,280000
Audi,TT RS,2022,2.5,394.0,354.0,3.6,69900
McLaren,570S,2021,3.8,562.0,443.0,2.9,208800
BMW,M4,2022,3.0,473.0,406.0,4.0,72800
Porsche,718 Cayman,2022,2.0,300.0,280.0,4.9,60500
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,393695
Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,625000
Audi,RS5,2022,2.9,444.0,443.0,3.7,75100
McLaren,GT,2021,4.0,612.0,465.0,3.2,208800
BMW,M2,2022,3.0,405.0,406.0,4.0,58900
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.6,229000
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,62000
Ford,GT,2022,3.5,660.0,550.0,3.0,500000
Nissan,370Z Nismo,2020,3.7,350.0,276.0,5.2,46200
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.6,71000
Aston Martin,DBS Superleggera,2021,5.2,715.0,663.0,3.2,308000
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443.0,3.8,80500
Jaguar,F-Type R,2021,5.0,575.0,516.0,3.5,105900
Lotus,Evora GT,2020,3.5,416.0,317.0,3.8,96950
Maserati,GranTurismo,2019,4.7,454.0,384.0,4.7,150980
Porsche,Panamera Turbo S,2022,4.0,630.0,604.0,2.9,180800
Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,218000
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,146000
Lotus,Evora,2021,3.5,416.0,317.0,3.8,94000
Alfa Romeo,4C Spider,2020,1.7,237.0,258.0,4.1,67150
Jaguar,F-Type,2022,3.0,380.0,339.0,4.9,70900
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,134300
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,100200
Audi,RS5 Coupe,2022,2.9,444.0,443.0,3.7,76450
BMW,M2 Competition,2021,3.0,405.0,406.0,4.0,58900
Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,64000
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,61500
Ford,GT,2021,3.5,647.0,550.0,2.8,500000
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950
McLaren,570S,2022,3.8,562.0,443.0,3.1,198950
Mercedes-AMG,C63 S Coupe,2021,4.0,503.0,516.0,3.7,77950
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.9,45790
Porsche,718 Boxster,2021,2.0,300.0,280.0,4.9,62000
Lamborghini,Aventador S,2021,6.5,729.0,507.0,2.9,417826
Ferrari,F8 Tributo,2021,3.9,710.0,568.0,2.9,274280
Audi,TT RS Coupe,2021,2.5,394.0,354.0,3.6,67600
BMW,M4 Coupe,2021,3.0,473.0,406.0,3.8,71800
Acura,NSX,2021,3.5,573.0,476.0,2.7,159495
Aston Martin,DBS Superleggera,2022,5.2,715.0,664.0,3.4,314500
Bentley,Continental GT,2022,6.0,626.0,664.0,3.3,214425
Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.3,3000000
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,71490
Jaguar,F-Type,2021,5.0,575.0,516.0,3.5,105900
Koenigsegg,Jesko,2021,5.0,1280.0,1106.0,2.5,2800000
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,104400
Maserati,GranTurismo,2022,4.7,454.0,384.0,4.7,150980
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000
Pagani,Huayra,2021,6.0,764.0,738.0,2.6,2600000
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102000
Rimac,C_Two,2021,4.0,1914.0,1696.0,1.9,2400000
Rolls-Royce,Wraith,2021,6.8,624.0,605.0,4.4,335550
Tesla,Model S Plaid,2021,4.0,1020.0,1050.0,1.9,141990
Toyota,GR Supra,2022,3.0,382.0,368.0,3.9,43090
TVR,Griffith,2021,5.0,500.0,420.0,3.9,157500
Ultima,RS,2021,6.2,1200.0,1300.0,2.3,220000
W Motors,Fenyr SuperSport,2022,3.8,800.0,723.0,2.7,1550000
Acura,NSX,2021,3.5,573.0,476.0,2.9,157500
Aston Martin,DBS Superleggera,2022,5.2,715.0,663.0,3.2,308000
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,202500
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.3,3000000
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,65000
Jaguar,F-Type,2021,3.0,380.0,339.0,4.9,63100
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950
Lotus,Evija,2022,4.0,1973.0,1254.0,2.5,2600000
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.8,134300
Porsche,Taycan,2021,4.0,616.0,774.0,2.6,185000
Rimac,C_Two,2022,4.0,1914.0,1696.0,1.9,2400000
Tesla,Model S Plaid,2022,4.0,1020.0,1050.0,1.98,140000
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000
Mercedes-Benz,AMG GT Black Series,2021,4.0,720.0,590.0,3.1,325000
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63000
Ford,GT,2021,3.5,647.0,550.0,3.0,500000
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.4,307820
Jaguar,F-Type,2022,5.0,575.0,516.0,3.5,103200
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797.0,707.0,3.5,80190
Lotus,Evora GT,2022,3.5,416.0,317.0,3.8,105000
Alfa Romeo,4C Spider,2020,1.8,237.0,258.0,4.1,68745
Subaru,WRX STI,2022,2.5,310.0,290.0,5.2,38170
Acura,NSX,2022,3.5,573.0,476.0,2.7,157500
Koenigsegg,Jesko,2021,5.0,1280.0,1015.0,2.5,2800000
Tesla,Model S Plaid,2022,4.0,1020.0,1050.0,1.98,139990
Bugatti,Chiron Super Sport 300+,2022,8.0,1578.0,1180.0,2.3,5200000
McLaren,Senna,2020,4.0,789.0,590.0,2.7,1500000
Porsche,Taycan Turbo S,2022,4.0,750.0,774.0,2.6,185000
Mercedes-Benz,SLS AMG Black Series,2014,6.2,622.0,468.0,3.5,275000
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,93050
Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,65000
Audi,RS 7 Sportback,2022,4.0,591.0,590.0,3.5,114000
Ford,GT,2022,3.5,660.0,550.0,3.0,500000
BMW,M2 CS,2022,3.0,444.0,406.0,3.8,84595
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102550
Lamborghini,Aventador,2022,6.5,770.0,531.0,2.8,393695
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,146000
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,96950
Porsche,Panamera Turbo S,2021,4.0,620.0,604.0,2.9,180000
Lamborghini,Aventador S,2022,6.5,729.0,507.0,2.9,460247
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Audi,RS 6 Avant,2022,4.0,591.0,590.0,3.1,110045
McLaren,570S,2021,3.8,562.0,443.0,3.1,192500
BMW,M5,2022,4.4,600.0,553.0,3.2,103500
Mercedes-Benz,AMG C 63 S,2021,4.0,503.0,516.0,3.7,77400
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64195
Ford,GT,2021,3.5,660.0,550.0,3.0,500000
Nissan,370Z Nismo,2020,3.7,350.0,276.0,5.0,46815
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102550
Audi,TT RS,2021,2.5,394.0,354.0,3.6,67895
Chevrolet,Corvette Z06,2023,5.5,625.0,650.0,2.6,85000
Lamborghini,Urus,2022,4.0,641.0,626.0,3.2,218009
Mercedes-Benz,AMG GT 63 S,2021,4.0,630.0,664.0,3.1,162900
Ferrari,Portofino M,2022,3.9,612.0,560.0,3.5,245000
Bugatti,Chiron,2021,8.0,1479.0,1180.0,2.5,3000000
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.4,304995
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100450
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,100200
Acura,NSX,2021,3.5,573.0,476.0,2.7,157500
Lexus,LC,2021,5.0,471.0,398.0,4.4,92950
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,74750
Audi,RS7,2021,4.0,591.0,590.0,3.5,114000
Bentley,Continental GT,2021,6.0,626.0,664.0,3.3,218400
BMW,M5,2021,4.4,600.0,553.0,3.2,103500
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695
Dodge,Challenger Hellcat,2021,6.2,717.0,656.0,3.5,70595
Ford,GT,2022,3.5,647.0,550.0,3.0,500000
Jaguar,F-Type R,2021,5.0,575.0,516.0,3.5,103200
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,393695
McLaren,570S,2021,3.8,562.0,443.0,3.1,203500
Mercedes-Benz,SLS AMG,2015,6.2,583.0,479.0,3.6,221580
Nissan,370Z Nismo,2020,3.7,350.0,276.0,4.7,47190
Porsche,Boxster,2021,2.0,300.0,280.0,4.9,62000
Porsche,718 Cayman,2022,2.0,300.0,280.0,4.9,61500
Lamborghini,Aventador,2021,6.5,759.0,531.0,2.9,393695
Ferrari,Roma,2021,3.9,612.0,561.0,3.3,222630
Audi,RS 5,2022,2.9,444.0,442.0,3.5,75400
McLaren,570S,2020,3.8,562.0,443.0,3.1,208000
BMW,M2,2022,3.0,405.0,406.0,4.2,58900
Mercedes-Benz,SL,2022,3.0,429.0,384.0,4.9,96250
Chevrolet,Camaro,2021,6.2,455.0,455.0,4.0,25000
Ford,GT,2022,3.5,660.0,550.0,3.0,500000
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,45000
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.4,307820
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100450
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,134300
Porsche,Panamera,2022,2.9,325.0,331.0,5.2,88550
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,218009
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Audi,RS 6,2022,4.0,591.0,590.0,3.5,109000
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000
Porsche,Taycan 4S,2021,4.0,429.0,472.0,3.8,103800
Lamborghini,Aventador S,2021,6.5,730.0,509.0,2.9,417650
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Audi,RS 7,2022,4.0,591.0,590.0,3.5,117000
McLaren,570S,2021,3.8,562.0,443.0,3.1,192500
BMW,M4,2021,3.0,473.0,406.0,4.0,72800
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.5,228000
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,42000
Ford,GT,2021,3.5,660.0,550.0,3.0,500000
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,48000
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.2,307820
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,93000
Bentley,Continental GT,2021,4.0,626.0,664.0,3.3,202500
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,150980
Tesla,Model S Plaid,2022,4.0,1020.0,1050.0,1.98,131190
Rolls-Royce,Dawn,2021,6.6,563.0,605.0,4.3,346300
Bugatti,Chiron Pur Sport,2021,8.0,1500.0,1180.0,2.3,3599000
McLaren,Senna,2019,4.0,789.0,590.0,2.7,1050000
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,690.0,641.0,3.0,186350
Acura,NSX,2021,3.5,573.0,476.0,2.7,157500
Aston Martin,DB11,2021,4.0,503.0,498.0,3.7,205600
Audi,RS7,2021,4.0,591.0,590.0,3.5,114000
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,201000
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.5,3000000
Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,67000
Dodge,Challenger Hellcat,2021,6.2,717.0,656.0,3.5,64000
Ferrari,812 Superfast,2021,6.5,789.0,530.0,2.8,340000
Lamborghini,Aventador SVJ,2021,6.5,770.0,531.0,2.8,517770
McLaren,600LT Spider,2021,3.8,592.0,457.0,2.8,256500
Mercedes-AMG,GT Black Series,2021,4.0,720.0,590.0,3.1,325000
Nissan,400Z,2023,3.0,400.0,350.0,4.0,40000
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,101000
Rimac,Nevera,2021,4.0,1914.0,1696.0,1.9,2400000
Rolls-Royce,Wraith,2021,6.8,624.0,605.0,4.4,330000
Tesla,Model S Plaid,2021,4.0,1020.0,509.0,1.9,139990
Toyota,Supra,2021,3.0,382.0,368.0,3.9,43000
Porsche,718 Boxster,2021,2.0,300.0,280.0,4.9,62000
Porsche,718 Boxster,2022,2.0,300.0,280.0,4.9,62000
Lamborghini,Aventador S,2021,6.5,730.0,509.0,2.9,417826
Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,625000
Audi,RS 7,2022,4.0,591.0,590.0,3.5,114000
McLaren,Artura,2021,3.0,671.0,531.0,3.0,225000
BMW,M2,2022,3.0,405.0,406.0,4.1,58900
Mercedes-Benz,SLS AMG,2015,6.2,583.0,479.0,3.6,221580
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695
Ford,GT,2022,3.5,647.0,550.0,3.0,500000
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,45000
Dodge,Charger Hellcat,2021,6.2,707.0,650.0,3.6,69995
Aston Martin,DBS Superleggera,2021,5.2,715.0,663.0,3.2,305000
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,75000
Audi,TT RS,2021,2.5,394.0,354.0,3.6,68000
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,203825
BMW,M5,2022,4.4,600.0,553.0,3.2,103500
Chevrolet,Corvette Stingray,2021,6.2,495.0,470.0,2.9,58900
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,63000
Ford,Mustang GT,2022,5.0,460.0,420.0,4.0,45000
Porsche,Cayman,2022,2.0,300.0,280.0,4.9,59900
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.8,417826
Ferrari,Roma,2022,3.9,612.0,560.0,3.3,222630
Audi,RS7,2022,4.0,591.0,590.0,3.5,114000
McLaren,570S,2021,3.8,562.0,443.0,2.7,204995
BMW,M4,2022,3.0,473.0,406.0,4.1,71800
Mercedes-Benz,SLS AMG,2021,6.2,622.0,468.0,3.5,243600
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,42000
Ford,GT,2022,3.5,660.0,550.0,2.8,500000
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,47190
Porsche,Panamera,2022,2.9,325.0,331.0,5.4,88550
Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,218000
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Audi,RS6,2022,4.0,591.0,590.0,3.5,113000
McLaren,Artura,2021,3.0,671.0,531.0,3.0,225000
BMW,M2,2022,3.0,405.0,406.0,4.0,58900
Mercedes-Benz,GT 63,2021,4.0,577.0,590.0,3.3,161200
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63000
Aston Martin,DBS Superleggera,2021,5.2,715.0,663.0,3.2,310000
Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.4,3000000
Koenigsegg,Jesko,2021,5.0,1280.0,1106.0,2.5,2800000
Pagani,Huayra,2021,6.0,764.0,737.0,3.0,2600000
Rimac,C_Two,2022,4.0,1914.0,1696.0,1.85,2400000
McLaren,Senna,2021,4.0,789.0,590.0,2.7,1000000
Porsche,918 Spyder,2015,4.6,887.0,944.0,2.2,1800000
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Lamborghini,Aventador SVJ,2020,6.5,759.0,531.0,2.8,517000
Audi,RS 6 Avant,2021,4.0,591.0,590.0,3.5,110000
Bentley,Continental GT Speed,2022,6.0,650.0,664.0,3.5,300000
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,68000
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,65000
Ford,GT,2021,3.5,660.0,550.0,2.9,500000
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92000
Lotus,Evija,2022,4.0,1972.0,1254.0,2.5,2700000
Mercedes-AMG,GT Black Series,2021,4.0,720.0,590.0,3.1,330000
Aston Martin,DB11,2021,4.0,503.0,513.0,3.9,205000
Bentley,Continental GT,2022,4.0,542.0,568.0,3.9,229000
Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,62750
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100000
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,135000
Porsche,Boxster,2022,2.0,300.0,280.0,4.9,63000
Alfa Romeo,4C,2020,1.8,237.0,258.0,4.2,67150
Chevrolet,Camaro,2022,6.2,455.0,455.0,4.0,62195
Dodge,Challenger,2022,3.6,305.0,268.0,6.4,28000
Ford,GT,2022,3.5,660.0,550.0,2.9,500000
Audi,RS7,2022,4.0,591.0,590.0,3.5,115045
BMW,M4,2022,3.0,473.0,406.0,4.1,71800
Lamborghini,Aventador,2021,6.5,729.0,507.0,2.9,393695
Mercedes-Benz,AMG C 63,2021,4.0,469.0,479.0,3.8,69900
Nissan,370Z,2021,3.7,350.0,276.0,5.3,30090
Porsche,Cayman,2022,2.0,300.0,280.0,4.9,68000
BMW,i8,2022,1.5,369.0,184.0,4.2,147500
Chevrolet,Corvette Stingray,2021,6.2,495.0,470.0,2.9,58900
Porsche,Taycan Turbo S,2022,4.0,750.0,774.0,2.6,185000
Lamborghini,Aventador S,2021,6.5,729.0,507.0,2.9,417650
Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,625000
Audi,RS7,2022,4.0,591.0,590.0,3.5,115000
McLaren,GT,2022,4.0,620.0,465.0,3.1,208000
BMW,M5,2022,4.4,600.0,553.0,3.2,103500
Mercedes-Benz,SLS AMG,2021,4.0,730.0,590.0,2.9,250000
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63000
Ford,GT,2022,3.5,660.0,550.0,2.8,500000
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,46100
Porsche,Panamera Turbo S,2022,4.0,630.0,604.0,3.1,180000
Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,218000
Ferrari,Portofino,2022,3.9,591.0,561.0,3.4,250000
Audi,TT RS,2022,2.5,394.0,354.0,3.6,70000
McLaren,570S,2021,3.8,562.0,443.0,3.1,200000
BMW,i8,2022,4.0,369.0,184.0,4.2,148500
