Make,Model,Year,Engine_L,Horsepower,Torque_lbft,ZeroTo60,Price_USD
Porsche,718 Cayman,2022,2.0,300.0,280.0,4.9,61500
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.8,417826
Ferrari,Portofino,2022,3.9,612.0,561.0,3.3,245000
Audi,TT RS,2022,2.5,394.0,354.0,3.6,67800
McLaren,GT,2022,4.0,620.0,465.0,3.1,211300
BMW,M4,2022,3.0,473.0,406.0,4.1,71800
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.5,222500
Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.0,43995
Ford,GT,2022,3.5,660.0,550.0,2.9,500000
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,45790
Porsche,911 Turbo S,2022,3.8,640.0,590.0,2.6,208000
McLaren,765LT,2021,4.0,755.0,590.0,2.8,358000
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,218009
Mercedes-AMG,GT Black Series,2021,4.0,720.0,590.0,3.1,325000
BMW,M5 Competition,2022,4.4,617.0,553.0,3.1,103500
Audi,RS7,2022,4.0,591.0,590.0,3.5,115000
Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,152995
Ferrari,F8 Spider,2021,3.9,710.0,568.0,2.9,274280
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,102550
Porsche,Taycan,2022,4.0,469.0,479.0,3.8,79900
Lamborghini,Aventador SVJ,2021,6.5,759.0,531.0,2.8,517770
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Audi,RS6 Avant,2021,4.0,591.0,590.0,3.5,109000
McLaren,600LT Spider,2021,3.8,592.0,457.0,2.8,256500
BMW,M4,2022,3.0,473.0,406.0,3.8,71800
Mercedes-Benz,AMG GT R,2021,4.0,577.0,516.0,3.5,180000
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695
Ford,GT,2022,3.5,660.0,550.0,3.0,500000
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,48000
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,690.0,642.0,3.0,190000
Lamborghini,Urus,2021,4.0,641.0,627.0,3.5,218000
Ferrari,Portofino M,2021,3.9,612.0,561.0,3.4,235000
Audi,TT RS,2022,2.5,394.0,354.0,3.6,67600
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000
BMW,M2 CS,2022,3.0,444.0,406.0,3.8,84595
Mercedes-Benz,SLS AMG Black Series,2021,6.2,622.0,468.0,3.5,335000
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,42000
Porsche,718 Boxster,2022,2.0,300.0,280.0,4.9,63000
Lamborghini,Aventador SVJ,2020,6.5,759.0,531.0,2.8,573966
Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,625000
Audi,TT RS Coupe,2022,2.5,394.0,354.0,3.5,68000
McLaren,GT,2020,4.0,612.0,465.0,3.1,210000
BMW,Z4 Roadster,2022,2.0,255.0,295.0,5.2,50000
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.6,200000
Chevrolet,Camaro SS Convertible,2022,6.2,455.0,455.0,4.0,49000
Ford,GT,2021,3.5,660.0,550.0,2.9,500000
Nissan,370Z Coupe,2020,3.7,332.0,270.0,5.0,30090
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,142086
Bentley,Continental GT,2022,6.0,626.0,664.0,3.3,225000
Bugatti,Chiron,2021,8.0,1479.0,1180.0,2.4,3000000
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,68000
Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,63700
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100000
Maserati,GranTurismo,2022,4.7,454.0,384.0,4.7,150980
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.2,304995
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,98395
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,689.0,642.0,3.0,190000
Lamborghini,Aventador SVJ,2021,6.5,759.0,531.0,2.8,517000
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Audi,RS7,2022,4.0,591.0,590.0,3.5,117000
Mercedes-Benz,S63 AMG,2021,4.0,603.0,664.0,3.4,168000
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64500
Ford,GT,2021,3.5,660.0,550.0,2.8,500000
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.7,46000
Porsche,718 Cayman GT4,2022,4.0,414.0,309.0,4.2,102000
Mercedes-AMG,C63 S Coupe,2021,4.0,503.0,516.0,3.7,77500
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,147000
McLaren,570S,2021,3.8,562.0,443.0,3.1,193000
BMW,M5,2022,4.4,600.0,553.0,3.2,103500
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64000
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950
Mercedes-AMG,GT 63 S,2021,4.0,630.0,664.0,3.1,162000
Audi,TT RS,2021,2.5,394.0,354.0,3.6,67600
Acura,NSX,2021,3.5,573.0,476.0,2.9,157500
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102000
Lamborghini,Aventador S,2021,6.5,730.0,509.0,2.9,417826
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Audi,RS 5,2022,2.9,444.0,443.0,3.5,76700
McLaren,570S Spider,2020,3.8,562.0,443.0,3.1,208800
BMW,M2 Competition,2022,3.0,405.0,406.0,4.2,58900
Mercedes-Benz,C 63 AMG,2022,4.0,469.0,479.0,3.9,69000
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,42000
Ford,Mustang GT,2022,5.0,460.0,420.0,4.5,43000
Dodge,Challenger R/T,2021,5.7,372.0,400.0,5.1,35000
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,151000
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105000
Alfa Romeo,4C Spider,2020,1.7,237.0,258.0,4.1,69000
Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,62500
Tesla,Roadster,2022,4.0,1000.0,737.0,1.9,200000
Koenigsegg,Jesko,2022,5.0,1600.0,1106.0,2.5,3000000
Bugatti,Chiron Super Sport 300+,2021,8.0,1578.0,1180.0,2.4,5200000
Rimac,Nevera,2021,4.0,1914.0,1696.0,1.85,2400000
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102100
Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,63000
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,142086
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443.0,3.8,83250
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,65000
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,93050
Audi,RS 7 Sportback,2021,4.0,591.0,590.0,3.5,114000
BMW,M4 Competition,2022,3.0,503.0,479.0,3.8,74700
Mercedes-Benz,C63 S AMG,2022,4.0,503.0,516.0,3.9,77600
Ford,GT,2022,3.5,660.0,550.0,2.9,500000
McLaren,GT,2021,4.0,620.0,465.0,3.1,210000
Porsche,Panamera Turbo S,2022,4.0,630.0,604.0,2.9,181100
Lamborghini,Aventador S,2021,6.5,730.0,507.0,2.9,417826
Aston Martin,DBS Superleggera,2022,5.2,715.0,664.0,3.2,329100
Audi,TT RS,2022,2.5,394.0,354.0,3.6,67600
Mercedes-Benz,AMG C43 Coupe,2021,3.0,385.0,384.0,4.5,59900
BMW,i8,2022,1.5,369.0,184.0,4.2,147500
Chevrolet,Corvette Stingray,2021,6.2,490.0,465.0,2.9,59900
Porsche,Taycan,2022,4.0,469.0,263.0,3.8,81250
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,517000
Ferrari,Roma,2021,3.9,611.0,560.0,3.3,222620
Audi,RS7,2022,4.0,591.0,590.0,3.5,115000
McLaren,GT,2021,4.0,612.0,465.0,3.1,210000
BMW,M2,2022,3.0,405.0,406.0,4.2,58900
Mercedes-Benz,C63 AMG,2021,4.0,469.0,479.0,3.9,77000
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.1,43995
Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.1,51720
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,46610
Porsche,Panamera,2022,2.9,325.0,331.0,5.3,88550
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,218009
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Audi,RS6,2022,4.0,591.0,590.0,3.5,120000
McLaren,570S,2021,3.8,562.0,443.0,3.1,192500
BMW,M4,2022,3.0,503.0,479.0,3.8,74000
Mercedes-Benz,AMG A45,2021,2.0,382.0,354.0,4.0,50000
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63995
Acura,NSX,2021,3.5,573.0,476.0,2.7,157500
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,142086
Bentley,Continental GT,2021,4.0,542.0,568.0,3.3,202500
Bugatti,Chiron,2022,8.0,1479.0,1180.0,2.4,2900000
Ferrari,F8 Tributo,2022,3.9,710.0,568.0,2.8,275000
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,517000
McLaren,GT,2021,4.0,612.0,465.0,3.1,201500
Mercedes-Benz,AMG GT R,2021,4.0,577.0,516.0,3.5,183000
Porsche,Taycan Turbo S,2021,4.0,750.0,774.0,2.6,185000
Audi,RS7,2021,4.0,591.0,590.0,3.5,114000
BMW,M4,2021,3.0,473.0,406.0,4.1,71800
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63000
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797.0,707.0,3.5,80190
Ford,GT,2022,3.5,660.0,550.0,2.8,500000
Jaguar,F-Type,2021,3.0,380.0,339.0,4.4,62750
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92000
Lotus,Evija,2021,4.0,2000.0,1254.0,2.8,2800000
Maserati,GranTurismo,2021,4.0,550.0,509.0,2.8,200000
Nissan,370Z,2021,3.7,332.0,270.0,5.0,30090
Rolls-Royce,Ghost,2021,6.8,563.0,627.0,4.6,332500
Porsche,Taycan,2021,2.0,402.0,254.0,5.1,81250
Aston Martin,DB11,2021,4.0,630.0,516.0,3.7,198995
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105000
Acura,NSX,2022,3.5,573.0,476.0,2.7,157500
Tesla,Roadster,2022,0.0,10000.0,7376.0,1.9,200000
Chevrolet,Camaro,2022,6.2,455.0,455.0,4.0,25000
Dodge,Charger,2021,6.2,797.0,707.0,3.3,72000
Jaguar,F-Type,2021,3.0,380.0,339.0,4.9,62750
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,93000
BMW,M4,2022,3.0,473.0,406.0,4.1,71800
Ford,GT,2021,3.5,660.0,550.0,2.9,500000
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,150980
McLaren,600LT,2021,3.8,592.0,457.0,2.8,256500
Mercedes-Benz,SLS AMG,2021,6.2,622.0,468.0,3.6,254995
Nissan,370Z,2021,3.7,332.0,270.0,5.2,30000
Audi,RS 7,2021,4.0,591.0,590.0,3.4,114000
Bentley,Continental GT,2021,4.0,542.0,568.0,3.9,220000
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.4,3000000
Porsche,Cayman,2022,2.0,300.0,280.0,4.5,59900
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,147000
Alfa Romeo,4C Spider,2020,1.7,237.0,258.0,4.1,67150
Audi,RS 5,2022,2.9,444.0,443.0,3.5,75100
BMW,M2,2022,3.0,405.0,406.0,4.0,58900
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,60695
Ferrari,F8 Spider,2022,3.9,710.0,568.0,2.9,274390
Jaguar,F-Type,2021,3.0,296.0,295.0,5.4,64700
Lamborghini,Aventador,2021,6.5,759.0,531.0,2.9,517770
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,99990
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,150800
McLaren,GT,2021,4.0,612.0,465.0,3.1,210000
Mercedes-Benz,AMG C 63,2021,4.0,469.0,479.0,3.8,67600
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.5,45790
Porsche,Panamera,2022,2.9,325.0,331.0,5.3,88800
Subaru,WRX STI,2021,2.5,310.0,290.0,5.2,38170
Tesla,Roadster,2022,4.0,591.0,509.0,1.9,200000
Porsche,718 Cayman,2022,2.0,300.0,280.0,4.9,61500
Lamborghini,Aventador,2021,6.5,729.0,509.0,2.9,393695
Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,625000
Audi,RS5 Coupe,2022,2.9,444.0,443.0,3.5,76350
McLaren,570S,2021,3.8,562.0,443.0,3.1,202000
BMW,M2,2022,3.0,405.0,406.0,4.0,58900
Mercedes-Benz,SL,2022,3.0,429.0,384.0,4.4,96000
Chevrolet,Camaro,2021,6.2,455.0,455.0,4.0,25000
Ford,GT,2022,3.5,660.0,550.0,2.8,500000
Nissan,370Z,2021,3.7,332.0,270.0,5.3,33000
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,75250
Aston Martin,DB11,2022,4.0,630.0,516.0,3.7,201495
Bentley,Continental GT,2021,6.0,626.0,664.0,3.3,201000
Dodge,Challenger,2021,6.4,485.0,475.0,3.8,62000
Jaguar,F-Type R,2022,5.0,575.0,516.0,3.5,103200
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,99000
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,150000
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102500
Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,149995
Dodge,Charger SRT Hellcat,2022,6.2,717.0,650.0,3.5,78595
Audi,RS 7,2021,4.0,591.0,590.0,3.5,114000
Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.1,37500
Ford,Mustang GT,2022,5.0,460.0,420.0,4.0,38500
Jaguar,F-Type R,2022,5.0,575.0,516.0,3.5,103200
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950
McLaren,570S,2021,3.8,562.0,443.0,3.1,208800
Mercedes-Benz,AMG C63,2022,4.0,469.0,479.0,3.8,71450
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.9,47820
Porsche,Panamera GTS,2021,4.0,473.0,457.0,3.9,134150
Audi,TT RS,2022,2.5,394.0,354.0,3.6,67600
BMW,M4,2021,3.0,473.0,406.0,3.8,71800
Ferrari,F8 Tributo,2021,3.9,710.0,568.0,2.8,274280
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.9,393695
McLaren,GT,2021,4.0,612.0,465.0,3.1,250000
Mercedes-Benz,AMG GT 4-Door Coupe,2021,4.0,630.0,664.0,3.1,171200
Aston Martin,DBS Superleggera,2022,5.2,715.0,663.0,3.4,321000
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100500
Porsche,Taycan Turbo S,2021,4.0,750.0,774.0,2.6,185000
McLaren,570S,2021,3.8,562.0,443.0,3.1,195000
Lamborghini,Aventador SVJ,2021,6.5,759.0,531.0,2.8,517770
Ford,GT,2021,3.5,660.0,550.0,3.0,500000
Audi,RS7 Sportback,2022,4.0,591.0,590.0,3.5,114000
BMW,M4,2022,3.0,473.0,406.0,4.1,72800
Mercedes-AMG,C63 S,2022,4.0,503.0,516.0,3.7,78100
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63000
Dodge,Charger Hellcat,2021,6.2,717.0,650.0,3.6,70000
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,78450
Tesla,Model S Plaid,2022,4.0,1020.0,1050.0,1.9,141190
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,689.0,642.0,3.0,190000
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,222000
Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.0,52915
Porsche,911,2022,3.0,379.0,331.0,4.0,101200
Lamborghini,Huracan,2021,5.2,630.0,443.0,2.8,274390
Ferrari,488 GTB,2022,3.9,661.0,561.0,3.0,333750
Audi,R8,2022,5.2,562.0,406.0,3.2,142700
McLaren,720S,2021,4.0,710.0,568.0,2.7,298000
BMW,M8,2022,4.4,617.0,553.0,3.1,130000
Mercedes-Benz,AMG GT,2021,4.0,523.0,494.0,3.8,118500
Chevrolet,Corvette,2021,6.2,490.0,465.0,2.8,59900
Ford,Mustang Shelby GT500,2022,5.2,760.0,625.0,3.5,81000
Nissan,GT-R Nismo,2021,3.8,600.0,481.0,2.5,212000
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64195
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,147000
Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.5,3900000
Koenigsegg,Jesko,2022,5.0,1280.0,1015.0,2.5,3000000
Pagani,Huayra,2021,6.0,764.0,740.0,2.8,2600000
Rimac,Nevera,2022,4.0,1914.0,1696.0,1.85,2400000
Lotus,Evija,2022,4.0,1973.0,1254.0,2.5,2000000
Pininfarina,Battista,2021,4.0,1872.0,1696.0,1.9,2500000
Maserati,MC20,2021,3.0,621.0,538.0,2.9,210000
Porsche,Cayman,2021,2.0,300.0,280.0,5.1,59900
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,393695
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Audi,RS 5,2021,2.9,444.0,443.0,3.5,75100
McLaren,GT,2022,4.0,612.0,465.0,3.1,210000
BMW,M2,2021,3.0,405.0,406.0,4.0,58900
Mercedes-Benz,SLS AMG,2021,6.3,622.0,468.0,3.6,254500
Chevrolet,Camaro,2021,6.2,455.0,455.0,4.0,25000
Ford,Mustang,2021,2.3,310.0,350.0,5.3,27205
Nissan,370Z,2021,3.7,332.0,270.0,5.1,30090
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,146000
Bugatti,Chiron,2021,8.0,1479.0,1180.0,2.4,3000000
Koenigsegg,Jesko,2022,5.0,1280.0,1106.0,2.5,3000000
Lotus,Evija,2021,4.0,1972.0,1254.0,2.0,2000000
McLaren,Senna,2021,4.0,789.0,590.0,2.7,1000000
Pagani,Huayra,2021,6.0,764.0,738.0,3.0,2600000
Rimac,Nevera,2021,4.0,1888.0,1696.0,1.85,2400000
Maruti,Swift,2023,1.2,90,113,11.2,7000
Hyundai,Creta,2023,1.5,115,144,10.5,12000
Tata,Harrier,2023,2.0,170,350,9.7,21000
Mahindra,Thar,2023,2.0,150,320,8.8,19000
Kia,Seltos,2023,1.5,115,144,10.7,13000
Honda,Civic,2023,1.8,140,174,8.5,22000
Toyota,Fortuner,2023,2.8,201,500,9.5,35000
Renault,Kiger,2023,1.0,100,152,11.0,9000
Ford,EcoSport,2023,1.5,123,150,10.9,12000
Volkswagen,Vento,2023,1.0,115,175,10.6,12000
Skoda,Octavia,2023,1.8,180,250,7.8,25000
Nissan,Magnite,2023,1.0,100,152,11.3,9500
MG,Hector,2023,1.5,143,250,10.4,17000
Hyundai,i20,2023,1.2,83,114,12.0,8000
Tata,Nexon,2023,1.2,118,170,9.9,12000
Maruti,Alto,2023,0.8,47,69,18.5,4500
Mahindra,XUV700,2023,2.0,197,420,8.9,28000
Honda,City,2023,1.5,121,145,10.3,16000
Hyundai,Venue,2023,1.0,120,172,10.8,11000
Kia,Carnival,2023,2.2,202,441,10.2,43000
Toyota,Innova,2023,2.7,164,245,12.1,21000
Renault,Triber,2023,1.0,72,96,15.0,7500
Volkswagen,T-Roc,2023,1.5,150,250,8.7,22000
Skoda,Kushaq,2023,1.5,150,250,8.6,19000
Tata,Tigor,2023,1.2,86,113,13.2,7500
Maruti,Baleno,2023,1.2,90,113,11.4,9000
Hyundai,Verna,2023,1.5,113,144,10.2,14000
Mahindra,Scorpio,2023,2.2,140,320,10.9,18000
Honda,Amaze,2023,1.2,90,110,12.5,8500
Ford,Figo,2023,1.2,95,119,11.8,9000
Toyota,Glanza,2023,1.2,90,113,11.3,9000
Renault,Duster,2023,1.3,156,254,9.1,14000
Volkswagen,Polo,2023,1.0,110,175,10.9,11000
Kia,Sonaet,2023,1.5,150,250,9.1,12000
Skoda,Rapid,2023,1.0,115,175,11.0,11000
Tata,Altroz,2023,1.2,86,113,12.5,9000
Maruti,Ertiga,2023,1.5,103,138,12.0,11000
Hyundai,Grand i10,2023,1.2,83,114,12.3,8500
Mahindra,Marazzo,2023,2.0,155,360,11.0,13000
Honda,WR-V,2023,1.2,90,110,12.5,9500
Ford,Endeavour,2023,2.0,170,420,9.0,35000
Toyota,Urban Cruiser,2023,1.5,105,138,11.7,10000
Renault,Kwid,2023,0.8,54,72,17.0,4000
Volkswagen,Taigun,2023,1.0,115,175,10.9,12000
Kia,Carens,2023,1.5,115,144,11.0,14000
Skoda,Slavia,2023,1.5,150,250,9.1,16000
Tata,Hexa,2023,2.2,154,350,10.8,18000
Maruti,S-Cross,2023,1.5,103,138,11.9,12000
Hyundai,Tucson,2023,2.0,154,192,9.8,25000
Mahindra,XUV300,2023,1.2,115,250,10.2,14000
Honda,CR-V,2023,1.5,143,243,8.9,28000
Ford,Mustang,2023,5.0,450,420,4.0,70000
Toyota,Camry,2023,2.5,203,184,8.2,35000
Renault,Fluence,2023,2.0,143,195,9.3,17000
Volkswagen,Passat,2023,2.0,190,236,7.8,33000
Kia,Stinger,2023,2.0,365,510,4.7,45000
Skoda,Kodiaq,2023,2.0,190,320,8.6,38000
Tata,Tieza,2023,1.2,90,110,12.8,8500
Maruti,Celerio,2023,1.0,67,90,15.2,5000
Hyundai,Elantra,2023,2.0,147,179,8.7,18000
Mahindra,Alturas,2023,2.2,178,420,9.1,36000
Honda,Amaze,2023,1.2,90,110,12.5,8500
Ford,Freestyle,2023,1.2,96,119,12.0,10000
Toyota,Yaris,2023,1.5,106,140,11.9,14000
Renault,Scala,2023,1.6,105,150,10.5,9000
Volkswagen,Up,2023,1.0,75,95,15.5,6000
Kia,Soul,2023,2.0,147,179,9.5,18000
Skoda,Fabia,2023,1.2,90,110,12.3,9000
Tata,Nano,2023,0.6,37,38,23.0,2500
Maruti,Eeco,2023,1.2,73,103,16.0,4000
Hyundai,Verna,2023,1.5,113,144,10.2,14000
Mahindra,Thar,2023,2.0,150,320,8.8,19000
Honda,Amaze,2023,1.2,90,110,12.5,8500
Ford,Classic,2023,1.5,100,130,13.0,9000
Toyota,Innova Crysta,2023,2.7,164,245,12.1,21000
Renault,Kiger,2023,1.0,100,152,11.0,9000
Volkswagen,Polo,2023,1.0,110,175,10.9,11000
Kia,Seltos,2023,1.5,115,144,10.7,13000
Skoda,Rapid,2023,1.0,115,175,11.0,11000
Tata,Altroz,2023,1.2,86,113,12.5,9000
Maruti,Baleno,2023,1.2,90,113,11.4,9000
Hyundai,Grand i10,2023,1.2,83,114,12.3,8500
Mahindra,Marazzo,2023,2.0,155,360,11.0,13000
Honda,WR-V,2023,1.2,90,110,12.5,9500
Ford,Figo,2023,1.2,95,119,11.8,9000
Toyota,Glanza,2023,1.2,90,113,11.3,9000
Renault,Duster,2023,1.3,156,254,9.1,14000
Volkswagen,T-Roc,2023,1.5,150,250,8.7,22000
Kia,Carens,2023,1.5,115,144,11.0,14000
Skoda,Slavia,2023,1.5,150,250,9.1,16000
Tata,Nexon,2023,1.2,118,170,9.9,12000
Maruti,Ertiga,2023,1.5,103,138,12.0,11000
Hyundai,Venue,2023,1.0,120,172,10.8,11000
Mahindra,XUV300,2023,1.2,115,250,10.2,14000
Honda,City,2023,1.5,121,145,10.3,16000
Ford,Endeavour,2023,2.0,170,420,9.0,35000
Toyota,Urban Cruiser,2023,1.5,105,138,11.7,10000
Renault,Kwid,2023,0.8,54,72,17.0,4000
Volkswagen,Taigun,2023,1.0,115,175,10.9,12000
Kia,Stinger,2023,2.0,365,510,4.7,45000
Skoda,Kodiaq,2023,2.0,190,320,8.6,38000
Tata,Tigor,2023,1.2,86,113,13.2,7500
Maruti,Celerio,2023,1.0,67,90,15.2,5000
Hyundai,Elantra,2023,2.0,147,179,8.7,18000
Mahindra,Alturas,2023,2.2,178,420,9.1,36000
Honda,Amaze,2023,1.2,90,110,12.5,8500
Ford,Freestyle,2023,1.2,96,119,12.0,10000
Toyota,Yaris,2023,1.5,106,140,11.9,14000
Renault,Scala,2023,1.6,105,150,10.5,9000
Volkswagen,Up,2023,1.0,75,95,15.5,6000
Kia,Soul,2023,2.0,147,179,9.5,18000
Skoda,Fabia,2023,1.2,90,110,12.3,9000
Tata,Nano,2023,0.6,37,38,23.0,2500
Maruti,Eeco,2023,1.2,73,103,16.0,4000
